title,abstract,label
Irbesartan Reduces QT Dispersion in Hypertensive Individuals,"<jats:p>
            <jats:italic>Abstract</jats:italic>
            —Angiotensin type 1 receptor antagonists have direct effects on the autonomic nervous system and myocardium. Because of this, we hypothesized that irbesartan would reduce QT dispersion to a greater degree than amlodipine, a highly selective vasodilator. To test this, we gathered electrocardiographic (ECG) data from a multinational, multicenter, randomized, double-blind parallel group study that compared the antihypertensive efficacy of irbesartan and amlodipine in elderly subjects with mild to moderate hypertension. Subjects were treated for 6 months with either drug. Hydrochlorothiazide and atenolol were added after 12 weeks if blood pressure (BP) remained uncontrolled. ECGs were obtained before randomization and at 6 months. A total of 188 subjects (118 with baseline ECGs) were randomized. We analyzed 104 subjects who had complete ECGs at baseline and after 6 months of treatment. Baseline characteristics between treatments were similar, apart from a slight imbalance in diastolic BP (irbesartan [n=53] versus amlodipine [n=51], 99.2 [SD 3.6] versus 100.8 [3.8] mm Hg;
            <jats:italic>P</jats:italic>
            =0.03). There were no significant differences in BP normalization (diastolic BP &lt;90 mm Hg) between treatments at 6 months (irbesartan versus amlodipine, 80% versus 88%;
            <jats:italic>P</jats:italic>
            =0.378). We found a significant reduction in QT indexes in the irbesartan group (QTc dispersion mean, –11.4 [34.5] milliseconds,
            <jats:italic>P</jats:italic>
            =0.02; QTc max, –12.8 [35.5] milliseconds,
            <jats:italic>P</jats:italic>
            =0.01), and QTc dispersion did not correlate with the change in BP. The reduction in QT indexes with amlodipine (QTc dispersion, –9.7 [35.4] milliseconds,
            <jats:italic>P</jats:italic>
            =0.06; QTc max, –8.6 [33.2] milliseconds,
            <jats:italic>P</jats:italic>
            =0.07) did not quite reach statistical significance, but there was a correlation between the change in QT indexes and changes in systolic BP. In conclusion, irbesartan improved QT dispersion, and this effect may be important in preventing sudden cardiac death in at-risk hypertensive subjects.
          </jats:p>",0
Preterm labor.,Am Fam Physician,0
Effect of angiotensin-converting-enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPPP) randomised trial,Lancet,0
Prevalence of Gingival Overgrowth Induced by Calcium Channel Blockers: A Community‐Based Study,"<jats:p><jats:bold>Background:</jats:bold> The prevalence of gingival overgrowth induced by chronic medication with calcium channel blockers is uncertain. Although there have been several studies examining this question, the results are conflicting, with previous estimates ranging from 20% to 83%. There have been only 2 studies examining the prevalence of overgrowth induced by diltiazem and amlodipine, with estimates of 74% and 3.3%, respectively.</jats:p><jats:p><jats:bold>Methods:</jats:bold> The current study aimed to address the problems associated with these studies by examining a sample of patients taking one of 3 calcium channel blockers, who were drawn from a community‐based population in northeastern England. Nine hundred eleven (911) subjects were recruited from general medical practices in the area. Of these, 442 were taking nifedipine, 181 amlodipine, and 186 diltiazem. In addition, 102 control subjects were examined. Drug and demographic data for each subject were recorded. The periodontal condition of all subjects was assessed including plaque index, papillary bleeding index, and a photograph of the anterior gingivae for subsequent analysis of overgrowth severity.</jats:p><jats:p><jats:bold>Results:</jats:bold> More than six percent (6.3%) of subjects taking nifedipine were seen to have significant overgrowth. This overgrowth was statistically greater than the amount of overgrowth seen in either of the other 2 drug groups or the control population. The prevalence of gingival overgrowth induced by amlodipine or diltiazem was not statistically significant when compared to the control group. The severity of overgrowth within the nifedipine group was found to be related to the amount of gingival inflammation and also to the gender of the subject, with males being 3 times as likely to develop overgrowth than females.</jats:p><jats:p><jats:bold>Conclusions:</jats:bold> The prevalence of clinically significant overgrowth related to chronic medication with calcium channel blockers is low, i.e., 6.3% for nifedipine. Males are 3 times as likely as females to develop clinically significant overgrowth. The presence of gingival inflammation is an important cofactor for the expression of this effect. <jats:italic>J Periodontol 1999; 70: 63‐67.</jats:italic></jats:p>",0
Effects of Calcium-Channel Blockade in Older Patients with Diabetes and Systolic Hypertension,N Engl J Med,0
1999 World Health Organization-International Society of Hypertension Guidelines for the Management of Hypertension. Guidelines Subcommittee.,J Hypertens,0
Long-Acting Lacidipine Versus Short-Acting Nifedipine in the Treatment of Asymptomatic Acute Blood Pressure Increase,J Cardiovasc Pharmacol,0
"Comparison of controlled-onset, extended-release verapamil with amlodipine and amlodipine plus atenolol on exercise performance and ambulatory ischemia in patients with chronic stable angina pectoris",Am J Cardiol,0
Correspondence,Am J Cardiol,0
Diuretics and β-Blockers Do Not Have Adverse Effects at 1 Year on Plasma Lipid and Lipoprotein Profiles in Men With Hypertension,Arch Intern Med,0
