title,abstract,label
Complete genome analysis of porcine kobuviruses from the feces of pigs in Japan,"1. Virus Genes. 2017 Aug;53(4):593-602. doi: 10.1007/s11262-017-1464-9. Epub 2017
 May 8.

Complete genome analysis of porcine kobuviruses from the feces of pigs in Japan.

Akagami M(1), Ito M(2), Niira K(3), Kuroda M(4), Masuda T(4), Haga K(5)(6), 
Tsuchiaka S(7), Naoi Y(7), Kishimoto M(7), Sano K(7), Omatsu T(7), Aoki H(8), 
Katayama Y(7), Oba M(7), Oka T(6), Ichimaru T(9), Yamasato H(4), Ouchi Y(1), 
Shirai J(7), Katayama K(5)(6), Mizutani T(7), Nagai M(10)(11).

Author information:
(1)Kenpoku Livestock Hygiene Service Center, Mito, Ibaraki, 310-0002, Japan.
(2)Ishikawa Nanbu Livestock Hygiene Service Center, Kanazawa, Ishikawa, 
920-3101, Japan.
(3)Tochigi Prefectural South District Animal Hygiene Service Center, Tochigi, 
Tochigi, 328-0002, Japan.
(4)Kurayoshi Livestock Hygiene Service Center, Kurayoshi, Tottori, 683-0017, 
Japan.
(5)Laboratory of Viral Infection I, Kitasato Institute for Life Sciences, 
Graduate School of Infection Control Sciences, Minato, Tokyo, 108-8641, Japan.
(6)Department of Virology II, National Institute of Infectious Diseases, 
Musashimurayama, Tokyo, 208-0011, Japan.
(7)Research and Education Center for Prevention of Global Infectious Disease of 
Animal, Tokyo University of Agriculture and Technology, Fuchu, Tokyo, 183-8509, 
Japan.
(8)Faculty of Veterinary Science, Nippon Veterinary and Life Science University, 
Musashino, Tokyo, 180-8602, Japan.
(9)Department of Health and Medical Sciences, Ishikawa Prefectural Nursing 
University, Kahoku, Ishikawa, 929-1210, Japan.
(10)Research and Education Center for Prevention of Global Infectious Disease of 
Animal, Tokyo University of Agriculture and Technology, Fuchu, Tokyo, 183-8509, 
Japan. m-nagai@ishikawa-pu.ac.jp.
(11)Department of Bioproduction Science, Ishikawa Prefectural University, 
Nonoichi, Ishikawa, 921-8836, Japan. m-nagai@ishikawa-pu.ac.jp.

Porcine kobuviruses (PoKoVs) are ubiquitously distributed in pig populations 
worldwide and are thought to be enteric viruses in swine. Although PoKoVs have 
been detected in pigs in Japan, no complete genome data for Japanese PoKoVs are 
available. In the present study, 24 nearly complete or complete sequences of the 
PoKoV genome obtained from 10 diarrheic feces and 14 non-diarrheic feces of 
Japanese pigs were analyzed using a metagenomics approach. Japanese PoKoVs 
shared 85.2-100% identity with the complete coding nucleotide (nt) sequences and 
the closest relationship of 85.1-98.3% with PoKoVs from other countries. Twenty 
of 24 Japanese PoKoVs carried a deletion of 90 nt in the 2B coding region. 
Phylogenetic tree analyses revealed that PoKoVs were not grouped according to 
their geographical region of origin and the phylogenetic trees of the L, P1, P2, 
and P3 genetic regions showed topologies different from each other. Similarity 
plot analysis using strains from a single farm revealed partially different 
similarity patterns among strains from identical farm origins, suggesting that 
recombination events had occurred. These results indicate that various PoKoV 
strains are prevalent and not restricted geographically on pig farms worldwide 
and the coexistence of multiple strains leads to recombination events of PoKoVs 
and contributes to the genetic diversity and evolution of PoKoVs.

DOI: 10.1007/s11262-017-1464-9
PMID: 28484931 [Indexed for MEDLINE]",1
"Genome Characterization of a Pathogenic Porcine Rotavirus B Strain Identified in Buryat Republic, Russia in 2015","<jats:p>An outbreak of enteric disease of unknown etiology with 60% morbidity and 8% mortality in weaning piglets occurred in November 2015 on a farm in Buryat Republic, Russia. Metagenomic sequencing revealed the presence of rotavirus B in feces from diseased piglets while no other pathogens were identified. Clinical disease was reproduced in experimentally infected piglets, yielding the 11 RVB gene segments for strain Buryat15, with an RVB genotype constellation of G12-P[4]-I13-R4-C4-M4-A8-N10-T4-E4-H7. This genotype constellation has also been identified in the United States. While the Buryat15 VP7 protein lacked unique amino acid differences in the predicted neutralizing epitopes compared to the previously published swine RVB G12 strains, this report of RVB in Russian swine increases our epidemiological knowledge on the global prevalence and genetic diversity of RVB.</jats:p>",1
Antibiotics in Feed Induce Prophages in Swine Fecal Microbiomes,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Antibiotics are a cost-effective tool for improving feed efficiency and preventing disease in agricultural animals, but the full scope of their collateral effects is not understood. Antibiotics have been shown to mediate gene transfer by inducing prophages in certain bacterial strains; therefore, one collateral effect could be prophage induction in the gut microbiome at large. Here we used metagenomics to evaluate the effect of two antibiotics in feed (carbadox and ASP250 [chlortetracycline, sulfamethazine, and penicillin]) on swine intestinal phage metagenomes (viromes). We also monitored the bacterial communities using 16S rRNA gene sequencing. ASP250, but not carbadox, caused significant population shifts in both the phage and bacterial communities. Antibiotic resistance genes, such as multidrug resistance efflux pumps, were identified in the viromes, but in-feed antibiotics caused no significant changes in their abundance. The abundance of phage integrase-encoding genes was significantly increased in the viromes of medicated swine over that in the viromes of nonmedicated swine, demonstrating the induction of prophages with antibiotic treatment. Phage-bacterium population dynamics were also examined. We observed a decrease in the relative abundance of
            <jats:italic>Streptococcus</jats:italic>
            bacteria (prey) when
            <jats:italic>Streptococcus</jats:italic>
            phages (predators) were abundant, supporting the “kill-the-winner” ecological model of population dynamics in the swine fecal microbiome. The data show that gut ecosystem dynamics are influenced by phages and that prophage induction is a collateral effect of in-feed antibiotics.
          </jats:p>
          <jats:p>
            <jats:bold>IMPORTANCE</jats:bold>
            This study advances our knowledge of the collateral effects of in-feed antibiotics at a time in which the widespread use of “growth-promoting” antibiotics in agriculture is under scrutiny. Using comparative metagenomics, we show that prophages are induced by in-feed antibiotics in swine fecal microbiomes and that antibiotic resistance genes were detected in most viromes. This suggests that in-feed antibiotics are contributing to phage-mediated gene transfer, potentially of antibiotic resistance genes, in the swine gut. Additionally, the so-called “kill-the-winner” model of phage-bacterium population dynamics has been shown in aquatic ecosystems but met with conflicting evidence in gut ecosystems. The data support the idea that swine fecal
            <jats:italic>Streptococcus</jats:italic>
            bacteria and their phages follow the kill-the-winner model. Understanding the role of phages in gut microbial ecology is an essential component of the antibiotic resistance problem and of developing potential mitigation strategies.
          </jats:p>",1
Metagenomic analysis demonstrates the diversity of the fecal virome in asymptomatic pigs in East Africa,"1. Arch Virol. 2016 Apr;161(4):887-97. doi: 10.1007/s00705-016-2819-6. Epub 2016 
Mar 10.

Metagenomic analysis demonstrates the diversity of the fecal virome in 
asymptomatic pigs in East Africa.

Amimo JO(1)(2), El Zowalaty ME(3), Githae D(4), Wamalwa M(4), Djikeng A(4), 
Nasrallah GK(5)(6).

Author information:
(1)Department of Animal Production, Faculty of Veterinary Medicine, University 
of Nairobi, P.O Box 29053, Nairobi, 00625, Kenya. amimo.josh@gmail.com.
(2)Bioscieces of Eastern and Central Africa-International Livestock Research 
Institute (BecA-ILRI), Hub, Nairobi, P.O Box 30709, Nairobi, 00100, Kenya. 
amimo.josh@gmail.com.
(3)Biomedical Research Center, Qatar University, Doha, 2713, Qatar. 
elzow001@gmail.com.
(4)Bioscieces of Eastern and Central Africa-International Livestock Research 
Institute (BecA-ILRI), Hub, Nairobi, P.O Box 30709, Nairobi, 00100, Kenya.
(5)Biomedical Research Center, Qatar University, Doha, 2713, Qatar. 
gheyath.nasrallah@qu.edu.qa.
(6)Department of Health Sciences, College of Arts and Sciences, Qatar 
University, Doha, 2713, Qatar. gheyath.nasrallah@qu.edu.qa.

Pigs harbor a variety of viruses that are closely related to human viruses and 
are suspected to have zoonotic potential. Little is known about the presence of 
viruses in smallholder farms where pigs are in close contact with humans and 
wildlife. This study provides insight into viral communities and the prevalence 
and characteristics of enteric viral co-infections in smallholder pigs in East 
Africa. Sequence-independent amplification and high-throughput sequencing were 
applied to the metagenomics analysis of viruses in feces collected from 
asymptomatic pigs. A total of 47,213 de novo-assembled contigs were constructed 
and compared with sequences from the GenBank database. Blastx search results 
revealed that 1039 contigs (>200 nt) were related to viral sequences in the 
GenBank database. Of the 1039 contigs, 612 were not assigned to any viral taxa 
because they had little similarity to known viral genomic or protein sequences, 
while 427 contigs had a high level of sequence similarity to known viruses and 
were assigned to viral taxa. The most frequent contigs related to mammalian 
viruses resembling members of the viral genera Astrovirus, Rotavirus, Bocavirus, 
Circovirus, and Kobuvirus. Other less abundant contigs were related to members 
of the genera Sapelovirus, Pasivirus, Posavirus, Teschovirus and Picobirnavirus. 
This is the first report on the diversity of the fecal virome of pig populations 
in East Africa. The findings of the present study help to elucidate the etiology 
of diarrheal diseases in pigs and identify potential zoonotic and emerging 
viruses in the region. Further investigations are required to compare the 
incidence of these viruses in healthy and diseased pigs in order to better 
elucidate their pathogenic role.

DOI: 10.1007/s00705-016-2819-6
PMID: 26965436 [Indexed for MEDLINE]",1
Identification of a Novel Hepacivirus in Domestic Cattle from Germany,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Hepatitis C virus (HCV) continues to represent one of the most significant threats to human health. In recent years, HCV-related sequences have been found in bats, rodents, horses, and dogs, indicating a widespread distribution of hepaciviruses among animals. By applying unbiased high-throughput sequencing, a novel virus of the genus
            <jats:named-content content-type=""genus-species"">Hepacivirus</jats:named-content>
            was discovered in a bovine serum sample.
            <jats:italic>De novo</jats:italic>
            assembly yielded a nearly full-length genome coding for a polyprotein of 2,779 amino acids. Phylogenetic analysis confirmed that the virus represents a novel species within the genus
            <jats:named-content content-type=""genus-species"">Hepacivirus</jats:named-content>
            . Viral RNA screening determined that 1.6% (
            <jats:italic>n =</jats:italic>
            5) of 320 individual animals and 3.2% (
            <jats:italic>n =</jats:italic>
            5) of 158 investigated cattle herds in Germany were positive for bovine hepacivirus. Repeated reverse transcription-PCR (RT-PCR) analyses of animals from one dairy herd proved that a substantial percentage of cows were infected, with some of them being viremic for over 6 months. Clinical and postmortem examination revealed no signs of disease, including liver damage. Interestingly, quantitative RT-PCR from different organs and tissues, together with the presence of an miR-122 binding site in the viral genome, strongly suggests a liver tropism for bovine hepacivirus, making this novel virus a promising animal model for HCV infections in humans.
          </jats:p>
          <jats:p>
            <jats:bold>IMPORTANCE</jats:bold>
            Livestock animals act as important sources for emerging pathogens. In particular, their large herd size and the existence of multiple ways of direct and food-borne infection routes emphasize their role as virus reservoirs. Apart from the search for novel viruses, detailed characterization of these pathogens is indispensable in the context of risk analysis. Here, we describe the identification of a novel HCV-like virus in cattle. In addition, determination of the prevalence and of the course of infection in cattle herds provides valuable insights into the biology of this novel virus. The results presented here form a basis for future studies targeting viral pathogenesis of bovine hepaciviruses and their potential to establish zoonotic infections.
          </jats:p>",1
"Pegivirus Infection in Domestic Pigs, Germany","1. Emerg Infect Dis. 2016 Jul;22(7):1312-4. doi: 10.3201/eid2207.160024.

Pegivirus Infection in Domestic Pigs, Germany.

Baechlein C, Grundhoff A, Fischer N, Alawi M, Hoeltig D, Waldmann KH, Becher P.

DOI: 10.3201/eid2207.160024
PMCID: PMC4918184
PMID: 27314228 [Indexed for MEDLINE]",1
A novel bovine papillomavirus type in the genus Dyokappapapillomavirus,"1. Arch Virol. 2017 Oct;162(10):3225-3228. doi: 10.1007/s00705-017-3443-9. Epub 
2017 Jun 14.

A novel bovine papillomavirus type in the genus Dyokappapapillomavirus.

Bauermann FV(1), Joshi LR(1), Mohr KA(1), Kutish GF(2), Meier P(3), Chase C(1), 
Christopher-Hennings J(1), Diel DG(4).

Author information:
(1)Animal Disease Research and Diagnostic Laboratory (ADRDL), Department of 
Veterinary and Biomedical Sciences, South Dakota State University, Box 2175, 
1155 N Campus Dr., Brookings, SD, 57007, USA.
(2)Department of Pathobiology, University of Connecticut, Storrs, CT, USA.
(3)North Star Veterinary Services, PLLC, Constable, NY, USA.
(4)Animal Disease Research and Diagnostic Laboratory (ADRDL), Department of 
Veterinary and Biomedical Sciences, South Dakota State University, Box 2175, 
1155 N Campus Dr., Brookings, SD, 57007, USA. diego.diel@sdstate.edu.

Papillomaviruses are a diverse group of viruses that are known to infect a wide 
range of animal species. Bovine papillomaviruses (BPVs) are divided into at 
least 21 genotypes (BPV1 to BPV21),  with most BPV isolates/strains described to 
date belonging to one of four genera, including Deltapapillomavirus, 
Xipapillomavirus, Epsilonpapillomavirus and Dyoxipapillomavirus. Here, we 
describe the identification and genetic characterization of a new BPV type in 
the genus Dyokappapapillomavirus. A farm in the state of New York, USA, reported 
chronic cases of vulvovaginitis in Holstein cows in 2016. Biopsies and/or swab 
samples collected from the vaginal mucosa were subjected to diagnostic 
investigation. Conventional diagnostic assays yielded negative results, and 
vaginal swab samples were subjected to viral metagenomic sequencing. Notably, 
BLAST searches revealed a papillomavirus genome with 7480 bp in length (67% nt 
sequence identity to BPV16). Additionally, phylogenetic analysis of the L1 gene 
of the papillomavirus identified here (tentatively named BPV22) revealed that it 
clusters with members of the genus Dyokappapapillomavirus. Interestingly, the 
recently identified BPV16, which was detected in fibropapilloma lesions in 
cattle also clusters within the Dyokappapapillomavirus group. Each virus, 
however, forms a separate branch in the phylogenetic tree. These results 
indicate that the putative BPV22 represents the second BPV within the genus 
Dyokappapapillomavirus.

DOI: 10.1007/s00705-017-3443-9
PMID: 28616671 [Indexed for MEDLINE]",1
Phage–bacteria relationships and CRISPR elements revealed by a metagenomic survey of the rumen microbiome,"<jats:title>Summary</jats:title><jats:p>Viruses are the most abundant biological entities on the planet and play an important role in balancing microbes within an ecosystem and facilitating horizontal gene transfer. Although bacteriophages are abundant in rumen environments, little is known about the types of viruses present or their interaction with the rumen microbiome. We undertook random pyrosequencing of virus‐enriched metagenomes (viromes) isolated from bovine rumen fluid and analysed the resulting data using comparative metagenomics. A high level of diversity was observed with up to 28 000 different viral genotypes obtained from each environment. The majority (∼78%) of sequences did not match any previously described virus. Prophages outnumbered lytic phages approximately 2:1 with the most abundant bacteriophage and prophage types being associated with members of the dominant rumen phyla (<jats:italic>Firmicutes</jats:italic> and <jats:italic>Proteobacteria</jats:italic>). Metabolic profiling based on SEED subsystems revealed an enrichment of sequences with putative functional roles in DNA and protein metabolism, but a surprisingly low proportion of sequences assigned to carbohydrate and amino acid metabolism. We expanded our analysis to include previously described metagenomic data and 14 reference genomes. Clustered regularly interspaced short palindromic repeats (CRISPR) were detected in most of the microbial genomes, suggesting previous interactions between viral and microbial communities.</jats:p>",1
Detection of a novel porcine boca-like virus in the background of porcine circovirus type 2 induced postweaning multisystemic wasting syndrome,"1. Virus Res. 2009 Dec;146(1-2):125-9. doi: 10.1016/j.virusres.2009.09.006. Epub 
2009 Sep 11.

Detection of a novel porcine boca-like virus in the background of porcine 
circovirus type 2 induced postweaning multisystemic wasting syndrome.

Blomström AL(1), Belák S, Fossum C, McKillen J, Allan G, Wallgren P, Berg M.

Author information:
(1)Department of Biomedical Sciences and Veterinary Public Health, Division of 
Microbiology and Food Safety, Swedish University of Agricultural Sciences, S-750 
07 Uppsala, Sweden. Anne-Lie.Blomstrom@bvf.slu.se

Porcine circovirus type 2 (PCV-2) has been found to be the causative agent of 
postweaning multisystemic wasting syndrome (PMWS). However, PCV-2 is a 
ubiquitous virus in the swine population and a majority of pigs infected with 
PCV-2 do not develop the disease. Different factors such as age, maintenance, 
the genetics of PCV-2, other pathogens, etc. have been suggested to contribute 
to the development of PMWS. However, so far no proven connection between any of 
these factors and the disease development has been found. In this study we 
explored the possible presence of other so far unknown DNA containing infectious 
agents in lymph nodes collected from Swedish pigs with confirmed PMWS through 
random amplification and high-throughput sequencing. Although the vast majority 
of the amplified genetic sequences belonged to PCV-2, we also found genome 
sequences of Torque Teno virus (TTV) and of a novel parvovirus. The detection of 
TTV was expected since like PCV-2, TTV has been found to have high prevalence in 
pigs around the world. We were able to amplify a longer region of the parvovirus 
genome, consisting of the entire NP1 and partial VP1/2. By comparative analysis 
of the nucleotide sequences and phylogenetic studies we propose that this is a 
novel porcine parvovirus, with genetic relationship to bocaviruses.

DOI: 10.1016/j.virusres.2009.09.006
PMID: 19748534 [Indexed for MEDLINE]",1
Viral Metagenomic Analysis Displays the Co-Infection Situation in Healthy and PMWS Affected Pigs,"1. PLoS One. 2016 Dec 1;11(12):e0166863. doi: 10.1371/journal.pone.0166863. 
eCollection 2016.

Viral Metagenomic Analysis Displays the Co-Infection Situation in Healthy and 
PMWS Affected Pigs.

Blomström AL(1), Fossum C(2), Wallgren P(3), Berg M(1).

Author information:
(1)Department of Biomedical Sciences and Veterinary Public Health, Section of 
Virology, Swedish University of Agricultural Sciences, Uppsala, Sweden.
(2)Department of Biomedical Sciences and Veterinary Public Health, Section of 
Immunology, Swedish University of Agricultural Sciences, Uppsala, Sweden.
(3)National Veterinary Institute (SVA), Uppsala, Sweden.

The development of high-throughput sequencing technologies have allowed the 
possibility to investigate and characterise the entire microbiome of 
individuals, providing better insight to the complex interaction between 
different microorganisms. This will help to understand how the microbiome 
influence the susceptibility of secondary agents and development of disease. We 
have applied viral metagenomics to investigate the virome of lymph nodes from 
Swedish pigs suffering from the multifactorial disease postweaning multisystemic 
wasting syndrome (PMWS) as well as from healthy pigs. The aim is to increase 
knowledge of potential viruses, apart from porcine circovirus type 2 (PCV2), 
involved in PMWS development as well as to increase knowledge on the virome of 
healthy individuals. In healthy individuals, a diverse viral flora was seen with 
several different viruses present simultaneously. The majority of the identified 
viruses were small linear and circular DNA viruses, such as different 
circoviruses, anelloviruses and bocaviruses. In the pigs suffering from PMWS, 
PCV2 sequences were, as expected, detected to a high extent but other viruses 
were also identified in the background of PCV2. Apart from DNA viruses also RNA 
viruses were identified, among them were a porcine pestivirus showing high 
similarity to a recently (in 2015) discovered atypical porcine pestivirus in the 
US. Majority of the viruses identified in the background of PCV2 in PMWS pigs 
could also be identified in the healthy pigs. PCV2 sequences were also 
identified in the healthy pigs but to a much lower extent than in PMWS affected 
pigs. Although the method used here is not quantitative the very clear 
difference in amount of PCV2 sequences in PMWS affected pigs and healthy pigs 
most likely reflect the very strong replication of PCV2 known to be a hallmark 
of PMWS. Taken together, these findings illustrate that pigs appear to have a 
considerable viral flora consisting to a large extent of small single-stranded 
and circular DNA viruses. Future research on these types of viruses will help to 
better understand the role that these ubiquitous viruses may have on health and 
disease of pigs. We also demonstrate for the first time, in Europe, the presence 
of a novel porcine pestivirus.

DOI: 10.1371/journal.pone.0166863
PMCID: PMC5131951
PMID: 27907010 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that they have no competing 
interests.",1
