title,abstract,label
Inhibition of cellular transport processes by 5-thio-<scp>d</scp>-glucopyranose,"<jats:p>5-Thio-d-glucopyranose, the nearest analogue of normal d-glucose, which is proving a useful tool in examinations of d-glucose biochemistry, affects active and facilitated-diffusion transport processes. 5-Thio-d-glucose is readily transported in rabbit kidney-cortex slices and reaches a tissue/medium ratio of 6.5 within 40min. The sulphur analogue shows typical saturation kinetics with a Km value of 2.4mm and Vmax. value of 70μmol/h per g of cell water. Uptake of 5-thio-d-glucose is phlorrhizin-sensitive, Na+-dependent and energy-dependent. d-Galactose and methyl α-d-glucopyranoside transport is competitively inhibited by 5-thio-d-glucose with Ki values of 4.8 and 9.7mm respectively. 5-Thio-d-glucose thus shows all of the characteristics of active transport in kidney cortex. Transport of neutral amino acids in rat kidney cortex is inhibited by 5-thio-d-glucose. Thus 5.6mm-5-thio-d-glucose causes a 25–30% inhibition of the transport of glycine and the non-metabolized amino acids cycloleucine and α-aminoisobutyric acid. 5-Thio-d-glucose is freely taken up by the facilitated-diffusion transport system in rat diaphragm muscle. The sulphur analogue inhibits the transport of d-xylose in this tissue but has no effect on the uptake of d-arabinose. It is concluded that the ring heteroatom is not an effector of binding in the transport processes examined and causes no important alteration in the conformation of the sugar. The diabetogenic action produced by 5-thio-d-glucose is due, in part, to the ability of the analogue to interfere with cellular transport processes that use d-glucose.</jats:p>",0
[Age-related characteristics of structural support for ovarian function].,No abstract available,0
Magnesium in affective disorders.,No abstract available,0
Long‐lasting marked inhibition of periaqueductal gray‐evoked defensive behaviors in inescapably‐shocked rats,"<jats:title>Abstract</jats:title><jats:p>Clinical evidence suggests that depression and trauma predispose the subject to panic. Accordingly, here we examined the late effects of uncontrollable stress, a presumptive model of depression and/or traumatic disorder, on panic‐like behaviors evoked by electrical stimulation of the dorsal periaqueductal gray (<jats:styled-content style=""fixed-case"">DPAG</jats:styled-content>). Changes in anxiety and depression were also assessed in the elevated plus‐maze (<jats:styled-content style=""fixed-case"">EPM</jats:styled-content>) and forced‐swimming test (<jats:styled-content style=""fixed-case"">FST</jats:styled-content>), respectively. Rats with electrodes in the <jats:styled-content style=""fixed-case"">DPAG</jats:styled-content> were subjected to a 7‐day shuttle‐box one‐way escape yoked training with foot‐shocks either escapable (<jats:styled-content style=""fixed-case"">ES</jats:styled-content>) or inescapable (<jats:styled-content style=""fixed-case"">IS</jats:styled-content>). The day after the end of one‐way escape training, rats were trained in a two‐way escape novel task (test‐session) to ascertain the effectiveness of uncontrollable stress. <jats:styled-content style=""fixed-case"">DPAG</jats:styled-content> stimulations were carried out in an open field, both before the escape training and 2 and 7 days after it, and <jats:styled-content style=""fixed-case"">EPM</jats:styled-content> and <jats:styled-content style=""fixed-case"">FST</jats:styled-content> were performed on the 8th and 10th days afterwards, respectively. Controls were either trained with fictive shocks (<jats:styled-content style=""fixed-case"">FS</jats:styled-content>) or subjected to intracranial stimulations only. Although the <jats:styled-content style=""fixed-case"">ES</jats:styled-content> rats performed significantly better than the <jats:styled-content style=""fixed-case"">IS</jats:styled-content> group in the two‐way escape task, groups did not differ with respect to either the anxiety or depression scores. Unexpectedly, however, <jats:styled-content style=""fixed-case"">IS</jats:styled-content> rats showed a marked attenuation of <jats:styled-content style=""fixed-case"">DPAG</jats:styled-content>‐evoked freezing and flight behaviors relative to both the <jats:styled-content style=""fixed-case"">ES</jats:styled-content> and <jats:styled-content style=""fixed-case"">FS</jats:styled-content> groups, 2 and 7 days after one‐way escape training. The conjoint inhibition of passive (freezing) and active (flight) defensive behaviors suggests that <jats:styled-content style=""fixed-case"">IS</jats:styled-content> inhibits a <jats:styled-content style=""fixed-case"">DPAG</jats:styled-content> in‐built motivational system that may be implicated in depressed patients' difficulties in coping with daily‐life stress.</jats:p>",1
Glycine attenuates hepatocellular depression during early sepsis and reduces sepsis-induced mortality,No abstract available,0
Chinese medicine Banxia‐houpu decoction regulates c‐fos expression in the brain regions in chronic mild stress model in rats,"<jats:title>Abstract</jats:title><jats:p>Banxia‐houpu decoction is a safe and effective traditional Chinese medicinal formula used in the treatment of mild and manic‐depressive disorders for centuries. There has been increasing interest in its therapeutic application in depression. However, the mechanisms behind behavioural changes are still poorly understood. Chronic mild stress (CMS)‐induced preference behaviour change has been used as a model to predict the clinical efﬁcacy of many types of antidepressant treatment. Both EtOH and water extracts (AE and WE) of Banxia‐houpu decoction exhibited a signiﬁcantly increased sucrose intake in the CMS model in rats, but there was no effect in unstressed animals. In the present study, it was found that the c‐fos expression in cerebral cortex, hippocampus and striatum corpora were very high in the CMS model in rats. WE and AE at a dose of 130 mg/kg exhibited a signiﬁcantly decreased c‐fos expression in the cerebral regions in CMS model in rats, respectively. The former was more potent than the latter. However, no signiﬁcant changes in the c‐fos expression were observed in unstressed rats treated with the decoction. Fluoxetine not only signiﬁcantly reduced c‐fos expression in all regions in the CMS model in rats, but only showed a marked decrease in c‐fos expression in the hippocampus in unstressed animals. A different molecular mechanism of Banxia‐houpu decoction and ﬂuoxetine may be implied. The cerebral cortex, hippocampus and striatum conpora might be important structural substrates in the central nervous system mediating the section of the Banxia‐houpu decoction on preference behaviour in CMS‐induced rats, and fos protein might be the common substrate of the signal transduction process of the decoction. Copyright © 2004 John Wiley &amp; Sons, Ltd.</jats:p>",1
Brain monoamine receptors in a chronic unpredictable stress model in rats,No abstract available,1
Behavioural and neuroendocrine effects of aqueous extract of Boerhaavia diffusa Linn. in mice using tail suspension and forced swim tests--a preliminary study.,No abstract available,1
Seasonality of glycogen phosphorylase activity in crucian carp (Carassius carassius L.),No abstract available,0
"Effect of Chronic Lead on the Haematology, Blood Glutathione and Bone Marrow Non‐Haeme Iron of Dogs","<jats:p><jats:bold>Abstract</jats:bold> Ten clinically normal male beagle dogs were used in the study. Two dogs served as control, 4 received 2 mg lead/kg daily and 4 received 5 mg lead/kg/daily. Lead was administered for 13 weeks, after which one‐half of each experimental group was treated with calcium ethylene diaminetetraacetate (CaEDTA) for 5 days. All animals were then monitored for another 4 weeks. Blood lead levels, haematology, blood glutathione concentration, and the number of bone marrow cells with stainable iron granules were measured weekly during the 18‐week experimental period. Clinical signs of poisoning were observed only in one dog in the high dose group after 6 weeks. The signs included emaciation, anorexia, muscular weakness, evidence of abdominal pain and depression. These signs were reversed with cessation of lead dosing and CaEDTA treatment. Blood lead levels and the number of marrow cells with non‐haeme iron increased in both lead‐dosed groups; nucleated red blood cells increased only in high lead dosed group. There was a trend for an increased packed cell volume in all groups; however, the high lead dosed group did not increase as fast. No significant changes were observed in blood glutathione concentration and in other haematologic parameters. There were no differences in the parameters studied between the dogs treated with CaEDTA and those not so treated. Blood lead levels and the number of nucleated red blood cells decreased after cessation of lead administration and the number of marrow cells with iron also tended to decrease after lead removal.</jats:p>",0
