title,abstract,label
Complete genome analysis of porcine kobuviruses from the feces of pigs in Japan,No abstract available,1
"Genome Characterization of a Pathogenic Porcine Rotavirus B Strain Identified in Buryat Republic, Russia in 2015","<jats:p>An outbreak of enteric disease of unknown etiology with 60% morbidity and 8% mortality in weaning piglets occurred in November 2015 on a farm in Buryat Republic, Russia. Metagenomic sequencing revealed the presence of rotavirus B in feces from diseased piglets while no other pathogens were identified. Clinical disease was reproduced in experimentally infected piglets, yielding the 11 RVB gene segments for strain Buryat15, with an RVB genotype constellation of G12-P[4]-I13-R4-C4-M4-A8-N10-T4-E4-H7. This genotype constellation has also been identified in the United States. While the Buryat15 VP7 protein lacked unique amino acid differences in the predicted neutralizing epitopes compared to the previously published swine RVB G12 strains, this report of RVB in Russian swine increases our epidemiological knowledge on the global prevalence and genetic diversity of RVB.</jats:p>",1
Antibiotics in Feed Induce Prophages in Swine Fecal Microbiomes,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Antibiotics are a cost-effective tool for improving feed efficiency and preventing disease in agricultural animals, but the full scope of their collateral effects is not understood. Antibiotics have been shown to mediate gene transfer by inducing prophages in certain bacterial strains; therefore, one collateral effect could be prophage induction in the gut microbiome at large. Here we used metagenomics to evaluate the effect of two antibiotics in feed (carbadox and ASP250 [chlortetracycline, sulfamethazine, and penicillin]) on swine intestinal phage metagenomes (viromes). We also monitored the bacterial communities using 16S rRNA gene sequencing. ASP250, but not carbadox, caused significant population shifts in both the phage and bacterial communities. Antibiotic resistance genes, such as multidrug resistance efflux pumps, were identified in the viromes, but in-feed antibiotics caused no significant changes in their abundance. The abundance of phage integrase-encoding genes was significantly increased in the viromes of medicated swine over that in the viromes of nonmedicated swine, demonstrating the induction of prophages with antibiotic treatment. Phage-bacterium population dynamics were also examined. We observed a decrease in the relative abundance of
            <jats:italic>Streptococcus</jats:italic>
            bacteria (prey) when
            <jats:italic>Streptococcus</jats:italic>
            phages (predators) were abundant, supporting the “kill-the-winner” ecological model of population dynamics in the swine fecal microbiome. The data show that gut ecosystem dynamics are influenced by phages and that prophage induction is a collateral effect of in-feed antibiotics.
          </jats:p>
          <jats:p>
            <jats:bold>IMPORTANCE</jats:bold>
            This study advances our knowledge of the collateral effects of in-feed antibiotics at a time in which the widespread use of “growth-promoting” antibiotics in agriculture is under scrutiny. Using comparative metagenomics, we show that prophages are induced by in-feed antibiotics in swine fecal microbiomes and that antibiotic resistance genes were detected in most viromes. This suggests that in-feed antibiotics are contributing to phage-mediated gene transfer, potentially of antibiotic resistance genes, in the swine gut. Additionally, the so-called “kill-the-winner” model of phage-bacterium population dynamics has been shown in aquatic ecosystems but met with conflicting evidence in gut ecosystems. The data support the idea that swine fecal
            <jats:italic>Streptococcus</jats:italic>
            bacteria and their phages follow the kill-the-winner model. Understanding the role of phages in gut microbial ecology is an essential component of the antibiotic resistance problem and of developing potential mitigation strategies.
          </jats:p>",1
Metagenomic analysis demonstrates the diversity of the fecal virome in asymptomatic pigs in East Africa,No abstract available,1
Porcine Astrovirus Type 3 in Central Nervous System of Swine with Polioencephalomyelitis,No abstract available,1
Identification of a Divergent Lineage Porcine Pestivirus in Nursing Piglets with Congenital Tremors and Reproduction of Disease following Experimental Inoculation,No abstract available,1
Identification of a Novel Hepacivirus in Domestic Cattle from Germany,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Hepatitis C virus (HCV) continues to represent one of the most significant threats to human health. In recent years, HCV-related sequences have been found in bats, rodents, horses, and dogs, indicating a widespread distribution of hepaciviruses among animals. By applying unbiased high-throughput sequencing, a novel virus of the genus
            <jats:named-content content-type=""genus-species"">Hepacivirus</jats:named-content>
            was discovered in a bovine serum sample.
            <jats:italic>De novo</jats:italic>
            assembly yielded a nearly full-length genome coding for a polyprotein of 2,779 amino acids. Phylogenetic analysis confirmed that the virus represents a novel species within the genus
            <jats:named-content content-type=""genus-species"">Hepacivirus</jats:named-content>
            . Viral RNA screening determined that 1.6% (
            <jats:italic>n =</jats:italic>
            5) of 320 individual animals and 3.2% (
            <jats:italic>n =</jats:italic>
            5) of 158 investigated cattle herds in Germany were positive for bovine hepacivirus. Repeated reverse transcription-PCR (RT-PCR) analyses of animals from one dairy herd proved that a substantial percentage of cows were infected, with some of them being viremic for over 6 months. Clinical and postmortem examination revealed no signs of disease, including liver damage. Interestingly, quantitative RT-PCR from different organs and tissues, together with the presence of an miR-122 binding site in the viral genome, strongly suggests a liver tropism for bovine hepacivirus, making this novel virus a promising animal model for HCV infections in humans.
          </jats:p>
          <jats:p>
            <jats:bold>IMPORTANCE</jats:bold>
            Livestock animals act as important sources for emerging pathogens. In particular, their large herd size and the existence of multiple ways of direct and food-borne infection routes emphasize their role as virus reservoirs. Apart from the search for novel viruses, detailed characterization of these pathogens is indispensable in the context of risk analysis. Here, we describe the identification of a novel HCV-like virus in cattle. In addition, determination of the prevalence and of the course of infection in cattle herds provides valuable insights into the biology of this novel virus. The results presented here form a basis for future studies targeting viral pathogenesis of bovine hepaciviruses and their potential to establish zoonotic infections.
          </jats:p>",1
"Pegivirus Infection in Domestic Pigs, Germany",No abstract available,1
A novel bovine papillomavirus type in the genus Dyokappapapillomavirus,No abstract available,1
High-throughput sequencing revealed the presence of an unforeseen parvovirus species in Canadian swine: the porcine partetravirus.,No abstract available,1
Phage–bacteria relationships and CRISPR elements revealed by a metagenomic survey of the rumen microbiome,"<jats:title>Summary</jats:title><jats:p>Viruses are the most abundant biological entities on the planet and play an important role in balancing microbes within an ecosystem and facilitating horizontal gene transfer. Although bacteriophages are abundant in rumen environments, little is known about the types of viruses present or their interaction with the rumen microbiome. We undertook random pyrosequencing of virus‐enriched metagenomes (viromes) isolated from bovine rumen fluid and analysed the resulting data using comparative metagenomics. A high level of diversity was observed with up to 28 000 different viral genotypes obtained from each environment. The majority (∼78%) of sequences did not match any previously described virus. Prophages outnumbered lytic phages approximately 2:1 with the most abundant bacteriophage and prophage types being associated with members of the dominant rumen phyla (<jats:italic>Firmicutes</jats:italic> and <jats:italic>Proteobacteria</jats:italic>). Metabolic profiling based on SEED subsystems revealed an enrichment of sequences with putative functional roles in DNA and protein metabolism, but a surprisingly low proportion of sequences assigned to carbohydrate and amino acid metabolism. We expanded our analysis to include previously described metagenomic data and 14 reference genomes. Clustered regularly interspaced short palindromic repeats (CRISPR) were detected in most of the microbial genomes, suggesting previous interactions between viral and microbial communities.</jats:p>",1
Detection of a novel porcine boca-like virus in the background of porcine circovirus type 2 induced postweaning multisystemic wasting syndrome,No abstract available,1
Viral Metagenomic Analysis Displays the Co-Infection Situation in Healthy and PMWS Affected Pigs,No abstract available,1
Genome Sequence of a Bovine Rhinitis B Virus Identified in Cattle in Sweden,"<jats:title>ABSTRACT</jats:title>
          <jats:p>A bovine rhinitis B virus, identified in a calf from Sweden, was genetically characterized. The complete polyprotein was recovered, and phylogenetic analysis showed that this virus has the highest similarity to a bovine rhinitis B virus previously identified in Mexico.</jats:p>",1
Characterisation of the Virome of Tonsils from Conventional Pigs and from Specific Pathogen-Free Pigs,"<jats:p>Porcine respiratory disease is a multifactorial disease that can be influenced by a number of different microorganisms, as well as by non-infectious factors such as the management and environment of the animals. It is generally believed that the interaction between different infectious agents plays an important role in regard to respiratory diseases. Therefore, we used high-throughput sequencing combined with viral metagenomics to characterise the viral community of tonsil samples from pigs coming from a conventional herd with lesions in the respiratory tract at slaughter. In parallel, samples from specific pathogen-free pigs were also analysed. This study showed a variable co-infection rate in the different pigs. The differences were not seen at the group level but in individual pigs. Some viruses such as adenoviruses and certain picornaviruses could be found in most pigs, while others such as different parvoviruses and anelloviruses were only identified in a few pigs. In addition, the complete coding region of porcine parvovirus 7 was obtained, as were the complete genomes of two teschoviruses. The results from this study will aid in elucidating which viruses are circulating in both healthy pigs and in pigs associated with respiratory illness. This knowledge is needed for future investigations into the role of viral-viral interactions in relation to disease development.</jats:p>",1
Identification and complete genome characterization of a novel picornavirus in turkey (Meleagris gallopavo),"<jats:p>Members of the family <jats:italic>Picornaviridae</jats:italic> are important pathogens of humans and animals, although compared with the thousands of known bird species (&gt;10 000), only a few (<jats:italic>n</jats:italic> = 11) picornaviruses have been identified from avian sources. This study reports the metagenomic detection and complete genome characterization of a novel turkey picornavirus from faecal samples collected from eight turkey farms in Hungary. Using RT-PCR, both healthy (two of three) and affected (seven of eight) commercial turkeys with enteric and/or stunting syndrome were shown to be shedding viruses in seven (88 %) of the eight farms. The viral genome sequence (turkey/M176/2011/HUN; GenBank accession no. JQ691613) shows a high degree of amino acid sequence identity (96 %) to the partial P3 genome region of a picornavirus reported recently in turkey and chickens from the USA and probably belongs to the same species. In the P1 and P2 regions, turkey/M176/2011/HUN is related most closely to, but distinct from, the kobuviruses and turdivirus 1. Complete genome analysis revealed the presence of characteristic picornaviral amino acid motifs, a potential type II-like 5′ UTR internal ribosome entry site (first identified among avian-origin picornaviruses) and a conserved, 48 nt long ‘barbell-like’ structure found at the 3′ UTR of turkey/M176/2011/HUN and members of the picornavirus genera <jats:italic>Avihepatovirus</jats:italic> and <jats:italic>Kobuvirus</jats:italic>. The general presence of turkey picornavirus – a novel picornavirus species – in faecal samples from healthy and affected turkeys in Hungary and in the USA suggests the worldwide occurrence and endemic circulation of this virus in turkey farms. Further studies are needed to investigate the aetiological role and pathogenic potential of this picornavirus in food animals.</jats:p>",1
Genetic characterization of a novel picornavirus in turkeys (Meleagris gallopavo) distinct from turkey galliviruses and megriviruses and distantly related to the members of the genus Avihepatovirus,"<jats:p>This study reports the metagenomic detection and complete genome characterization of a novel turkey picornavirus from faecal samples of healthy (1/3) and affected (6/8) commercial turkeys with enteric and/or stunting syndrome in Hungary. The virus was detected at seven of the eight farms examined. The turkey/M176-TuASV/2011/HUN genome (KC465954) was genetically different from the currently known picornaviruses of turkey origin (megriviruses and galliviruses), and showed distant phylogenetic relationship and common genomic features (e.g. uncleaved VP0 and three predicted and unrelated 2A polypeptides) to duck hepatitis A virus (DHAV) of the genus <jats:italic>Avihepatovirus</jats:italic>. The complete genome analysis revealed multiple distinct genome features like the presence of two in-tandem aphthovirus 2A-like sequence repeats with DxExNPG/P ‘ribosome-skipping’ sites (76 %, 23/30 amino acids identical), with the first aphthovirus 2A-like sequence being located at the end of the VP1 capsid protein (VP1/2A1 ‘ribosome-skipping’ site). The phylogenetic analyses, low sequence identity (33, 32 and 36 % amino acid identity in P1, P2 and P3 regions) to DHAV, and the type II-like internal ribosome entry site suggests that this turkey picornavirus is related to, but distinct from the genus <jats:italic>Avihepatovirus</jats:italic> and it could be the founding member of a novel <jats:italic>Avihepatovirus</jats:italic> sister-clade genus. This is the third, taxonomically highly distinct picornavirus clade identified from turkeys exhibiting varied symptoms.</jats:p>",1
